Device ID,Location,City,State,Zip Code,Display Name,Machine ID,Tags,Mobile (#),Mobile (%),Mobile,Cash,Card,Total,Fee,Discounts,Loyalty,Promotions (!),Net
20009228,"
201 East Pine Street
Orlando
FL
32801
",Orlando,FL,32801,Greenspoon Marder - Snack Machine,2084,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20009229,"
330 Carswell Ave
Daytona Beach
FL
32117
",Daytona Beach,FL,32117,Product Quest - Cold Food Machine,2167,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20009230,"
330 Carswell Ave
Holly Hill
FL
32117
",Holly Hill,FL,32117,Product Quest - Pepsi Machine,2115,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20009231,"
330 Carswell Ave
Holly Hill
FL
32117
",Holly Hill,FL,32117,Product Quest - Generic Beverage Machine,2436,promo,1,1.79,$1.25,$54.50,$14.25,$70.00,$0.07,$0.00,$0.00,$0.00,$1.18
20009232,"
330 Carswell Ave
Holly Hill
FL
32117
",Holly Hill,FL,32117,Product Quest - Coke Machine,2300,promo,2,7.14,$1.50,$19.50,$0.00,$21.00,$0.08,$0.00,$0.00,$0.00,$1.42
20009233,"
301 Gills Ave
Orlando
FL
32819
",Orlando,FL,32819,Kelly Nissan - Snack Machine,2191,promo,12,29.25,$9.80,$23.70,$0.00,$33.50,$0.55,$0.00,$0.00,$0.00,$9.25
20009234,"
2825 South US Highway 17-92
Casselberry
FL
32707
",Casselberry,FL,32707,Aviation Institute - Beverage Machine Hanger,2101,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20009235,"
2499 Mercy Drive
Orlando
FL
32808
",Orlando,FL,32808,Hajoca - Snack Machine,2429,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20009236,"
4110 West Colonial Dr
Orlando
FL
32808
",Orlando,FL,32808,Hyundai - Ice Cream Machine,2035,promo,,,$0.00,$3.00,$0.00,$3.00,$0.00,$0.00,$0.00,$0.00,$0.00
20009237,"
2000 Noth Alafaya Trail Suite 150
Orlando
FL
32826
",Orlando,FL,32826,CrossLink - Snack Machine,2019,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20009238,"
12180 East Colonial Dr
Orlando
FL
32807
",Orlando,FL,32807,Mister Car Wash #3 - Snack Machine,2322,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20009239,"
4110 West Colonial Dr
Orlando
FL
32808
",Orlando,FL,32808,Hyundai - Snack Machine,2080,promo,20,11.04,$21.90,$116.35,$60.15,$198.40,$1.16,$0.00,$0.00,$0.00,$20.74
